     p        K_p-2          K_p-3            N     
0        135            133          132  133.992424
1        134            132          131  133.992366
2        133            131          130  133.992308
3        132            130          129  133.992248
4        131            129          128  133.992188
5        130            128          127  133.992126
6        129            127          126  133.992063
7        128            126          125  133.992000
8        127            125          124  133.991935
9        126            124          123  133.991870
10       125            123          122  133.991803
11       124            122          121  133.991736
12       123            121          120  133.991667
13       122            120          119  133.991597
14       121            119          118  133.991525
15       120            118          117  133.991453
16       119            117          116  133.991379
17       118            116          115  133.991304
18       117            115          114  133.991228
19       116            114          113  133.991150
20       115            113          112  133.991071
21       114            112          111  133.990991
22       113            111          110  133.990909
23       112            110          109  133.990826
24       111            109          108  133.990741
25       110            108          107  133.990654
26       109            107          106  133.990566
27       108            106          105  133.990476
28       107            105          104  133.990385
29       106            104          103  133.990291
30       105            103          102  133.990196
31       104            102          101  133.990099
32       103            101          100  133.990000
33       102            100           99  133.989899
34       101             99           98  133.989796
35       100             98           97  133.989691
36        99             97           96  133.989583
37        98             96           95  133.989474
38        97             95           94  133.989362
39        96             94           93  133.989247
40        95             93           92  133.989130
41        94             92           91  133.989011
42        93             91           90  133.988889
43        92             90           89  133.988764
44        91             89           88  133.988636
45        90             88           87  133.988506
46        89             87           86  133.988372
47        88             86           85  133.988235
48        87             85           84  133.988095
49        86             84           83  133.987952
50        85             83           82  133.987805
51        84             82           81  133.987654
52        83             81           80  133.987500
53        82             80           79  133.987342
54        81             79           78  133.987179
55        80             78           77  133.987013
56        79             77           76  133.986842
57        78             76           75  133.986667
58        77             75           74  133.986486
59        76             74           73  133.986301
60        75             73           72  133.986111
61        74             72           71  133.985915
62        73             71           70  133.985714
63        72             70           69  133.985507
64        71             69           68  133.985294
65        70             68           67  133.985075
66        69             67           66  133.984848
67        68             66           65  133.984615
68        67             65           64  133.984375
69        66             64           63  133.984127
70        65             63           62  133.983871
71        64             62           61  133.983607
72        63             61           60  133.983333
73        62             60           59  133.983051
74        61             59           58  133.982759
75        60             58           57  133.982456
76        59             57           56  133.982143
77        58             56           55  133.981818
78        57             55           54  133.981481
79        56             54           53  133.981132
80        55             53           52  133.980769
81        54             52           51  133.980392
82        53             51           50  133.980000
83        52             50           49  133.979592
84        51             49           48  133.979167
85        50             48           47  133.978723
86        49             47           46  133.978261
87        48             46           45  133.977778
88        47             45           44  133.977273
89        46             44           43  133.976744
90        45             43           42  133.976190
91        44             42           41  133.975610
92        43             41           40  133.975000
93        42             40           39  133.974359
94        41             39           38  133.973684
95        40             38           37  133.972973
96        39             37           36  133.972222
97        38             36           35  133.971429
98        37             35           34  133.970588
99        36             34           33  133.969697
100       35             33           32  133.968750
101       34             32           31  133.967742
102       33             31           30  133.966667
103       32             30           29  133.965517
104       31             29           28  133.964286
105       30             28           27  133.962963
106       29             27           26  133.961538
107       28             26           25  133.960000
108       27             25           24  133.958333
109       26             24           23  133.956522
110       25             23           22  133.954545
111       24             22           21  133.952381
112       23             21           20  133.950000
113       22             20           19  133.947368
114       21             19           18  133.944444
115       20             18           17  133.941176
116       19             17           16  133.937500
117       18             16           15  133.933333
118       17             15           14  133.928571
119       16             14           13  133.923077
120       15             13           12  133.916667
121       14             12           11  133.909091
122       13             11           10  133.900000
123       12             10            9  133.888889
124       11              9            8  133.875000
125       10              8            7  133.857143
126        9              7            6  133.833333
127        8              6            5  133.800000
128        7              5            4  133.750000
129        6              4            3  133.666667
130        5              3            2  133.500000
131        4              2            1  133.000000
